Log-Pric,Code,Name,Dept,Principal,Description
P&G,55550100102,Transport Charges-P&G,Logistics,PG,PG-Transport Charges-YGN to  
Suntory Beverage,55550100202,Transport Charges-Suntory Beverage & Food,Logistics,Suntory,SB-Transport Charges-YGN to 
Abbott,55550100302,Transport Charges-Abbott,Logistics,Abbott,Ab-Transport Charges-YGN to 
Honesty,55550103902,Transport Charges-Honesty,Logistics,Honesty,MSI-Transport Charges-YGN to  
Nestrade,55550100502,Transport Charges-Nestrade,Logistics,NT,NT-Transport Charges-YGN to  
Orion,55550100602,Transport Charges-Orion,Logistics,Orion,Orion-Transport Charges-YGN to  
Nong Shim,55550100702,Transport Charges-Nong Shim,Logistics,NS,NS-Transport Charges-YGN to  
Kyu Kyu Hmwe,55550103602,Transport Charges-Kyu Kyu Hmwe,Logistics,KKHmwe,KKH-Transport Charges-YGN to  
Kellogg's,55550100902,Transport Charges-Kelloggs,Logistics,Kelloggs,KL-Transport Charges-YGN to 
Win Food,55550103702,Transport Charges-Win Food,Logistics,Win Food,WSK-Transport Charges-YGN to  
MDLZ,55550101102,Transport Charges-MDLZ,Logistics,MDLZ,MDLZ-Transport Charges-YGN to  
Dr Care,55550102402,Transport Charges-Dr.Care,Logistics,Dr.Care,DC-Transport Charges-YGN to  
CMP Fruits Garden,55550105702,Transport Charges-CMP Fruits Garden,Logistics,CMPFruit,CMP-Transport Charges-YGN to  
Pyar Dee,55550105002,Transport Charges-Pyar Dee,Logistics,Pyar Dee,PD-Transport Charges-YGN to  
Constellation,55550105102,Transport Charges-Constellation,Logistics,CSLation,CSL-Transport Charges-YGN to
Nagar Pyan,55550105202,Transport Charges-Nagar Pyan ,Logistics,NaGaPyan,NGP-Transport Charges-YGN to
Glamdust,55550105402,Transport Charges-Glamdust,Logistics,Glamdust,GD-Transport Charges-YGN to
Merisant,55550101802,Transport Charges-Merisant,Logistics,Merisant,Ms-Transport Charges-YGN to  
TVO,55550101902,Transport Charges-TVO,Logistics,TVO,TVO-Transport Charges-YGN to  
NewA1,55550106502,Transport Charges-NewA1Family,Logistics,NewA1,A1-Transport Charges-YGN to 
Gullon,55550102202,Transport Charges-Gullon,Logistics,GULLON,GLO-Transport Charges-YGN to  
Uhrenholt,55550102302,Transport Charges-Uhrenholt,Logistics,Uhrenhol,URH-Transport Charges-YGN to  
MPT,55550102002,Transport Charges-MPT,Logistics,MPT,MPT-Transport Charges-YGN to  
Htoo Kaung Myat,55550105602,Transport Charges-Htoo Kaung Myat ,Logistics,HKM,HKM-Transport Charges-YGN to  
Calbee,55550102502,Transport Charges-Calbee,Logistics,Calbee,CB-Transport Charges-YGN to  
Omi Snack,55550106402,Transport Charges-OmiSnack ,Logistics,Omi,OMI-Transport Charges-YGN to  
Aurora,55550106202,Transport Charges-AuroraPreservedFruits,Logistics,ARR,ARR-Transport Charges-YGN to  
Clorox,55550102902,Transport Charges-Clorox,Logistics,Clorox,CL-Transport Charges-YGN to  
Royal Fantastic,55550106002,Transport Charges-RoyalFantasticBlessing,Logistics,RoyalFB,ZAN-Transport Charges-YGN to  
Danuphyu Daw Saw Yee,55550105802,Transport Charges-Danuphyu Daw Saw Yee,Logistics,DSY,DSY-Transport Charges-YGN to  
Ya Thar Taw Win,55550103102,Transport Charges-Ya Thar Taw Win,Logistics,YTTW,MYM-Transport Charges-YGN to  
Pepsico,55550103202,Transport Charges-Pepsico,Logistics,Pepsico,PS-Transport Charges-YGN to  
MayMyo Fresh Coffee,55550103302,Transport Charges-MayMyo Fresh Coffee,Logistics,MayMyo,MF-Transport Charges-YGN to  
Trine,55550103402,Transport Charges-Trine,Logistics,Trine,TR-Transport Charges-YGN to  
O'Ma Ma,55550103002,Transport Charges-O’Ma Ma,Logistics,O’Ma Ma,OMM-Transport Charges-YGN to  
PO,66660320301,Transport Charges,Logistics,PO,POSM-Transport Charges-YGN to  
Healthy Spoon Oats,55550103502,Transport Charges-Healthy Spoon Oats,Logistics,HSOats,HS-Transport Charges-YGN to  
Vitaspring,55550105502,Transport Charges- Vitaspring,Logistics,VTSpring,VS-Transport Charges-YGN to
MDLZ,55550101102,Transport Charges-MDLZ,Logistics,MDLZ,MDLZ-Transport Charges-YGN to  
Great Ever Top One,55550106102,Transport Charges-GreatEverTopOne,Logistics,EverTop1,CC-Transport Charges-YGN to 
Diamond And Sweety,55550106302,Transport Charges-DiamondAndSweety,Logistics,Diamond,DS-Transport Charges-YGN to 
Wai Phyoe Food,55550106602,Transport Charges-WaiPhyoeFood,Logistics,WaiPhyoe,WP-Transport Charges-YGN to 
GBA CORP,55550102602,Transport Charges-GBA CORP,Logistics,GBA CORP,FF-Transport Charges-YGN to 
Myat HtarNi,55550106702,Transport Charges-MyatHtarni,Logistics,MyatHtarni,Mshine-Transport Charges-YGN to  
Nutripure,55550106802,Transport Charges-Nutripure,Logistics,Nutripure,AYW-Transport Charges-YGN to  
